dataPlatform,schema,dataset,class,field,sourceEntityType,sourceDataType,sourceNullable,pk,pii,classification,sqlDataType,columnSize,definedBy,ordinalPosition,idx,V3
OracleTest,CUSTOMER,EMPLOYEE,EMPLOYEE,BALANCE,Column,NUMBER,TRUE,,,,2,15,REAL,7,,
OracleTest,CUSTOMER,EMPLOYEE,EMPLOYEE,EMAIL,Column,VARCHAR2,TRUE,,true,EMAIL,12,150,STRING,4,,
OracleTest,CUSTOMER,EMPLOYEE,EMPLOYEE,EMP_ID,Column,NUMBER,FALSE,true,,,2,0,REAL,1,true,
OracleTest,CUSTOMER,EMPLOYEE,EMPLOYEE,FIRST_NAME,Column,VARCHAR2,TRUE,,true,FIRST_NAME,12,100,STRING,2,,
OracleTest,CUSTOMER,EMPLOYEE,EMPLOYEE,LAST_NAME,Column,VARCHAR2,TRUE,,true,LAST_NAME,12,100,STRING,3,,
OracleTest,CUSTOMER,EMPLOYEE,EMPLOYEE,PHONE,Column,VARCHAR2,TRUE,,true,TELEPHONE_NUMBER,12,20,STRING,5,,
OracleTest,CUSTOMER,ORDERSDATE,ORDERSDATE,CUSTOMER_ID,Column,NUMBER,TRUE,,,,2,0,REAL,2,,
OracleTest,CUSTOMER,ORDERSDATE,ORDERSDATE,ORDER_AMOUNT,Column,NUMBER,TRUE,,,,2,10,REAL,3,,
OracleTest,CUSTOMER,ORDERSDATE,ORDERSDATE,ORDER_DATE,Column,DATE,TRUE,,,,93,7,DATETIME,5,,
OracleTest,CUSTOMER,ORDERSDATE,ORDERSDATE,ORDER_ID,Column,NUMBER,TRUE,,,,2,0,REAL,1,,
OracleTest,CUSTOMER,ORDERSDATE,ORDERSDATE,ORDER_STATUS,Column,VARCHAR2,TRUE,,,,12,20,STRING,4,,
OracleTest,CUSTOMER,ORDERSTS,ORDERSTS,CUSTOMER_ID,Column,NUMBER,TRUE,,,,2,0,REAL,2,,
OracleTest,CUSTOMER,ORDERSTS,ORDERSTS,ORDER_AMOUNT,Column,NUMBER,TRUE,,,,2,10,REAL,3,,
OracleTest,CUSTOMER,ORDERSTS,ORDERSTS,ORDER_ID,Column,NUMBER,TRUE,true,,,2,0,REAL,1,,
OracleTest,CUSTOMER,ORDERSTS,ORDERSTS,ORDER_STATUS,Column,VARCHAR2,TRUE,,true,,12,20,STRING,4,,
OracleTest,CUSTOMER,PERSON,PERSON,AGE,Column,NUMBER,TRUE,,true,AGE,2,38,REAL,5,,
