dataPlatform,schema,dataset,class,field,sourceEntityType,sourceDataType,sourceNullable,columnSize,definedBy,pk,ordinalPosition,pii,classification,nullPercentage,refersTo,V1
LBSDummyC,Customer TS2-PP1,contact,Contact,ANNUAL_INCOME,Column,DECIMAL,TRUE,18,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,CORRESPONDENCE_BFPO_ADDRESS_UNIT,Column,NVARCHAR,TRUE,50,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,CORRESPONDENCE_OVERSEAS_ADDRESS_LINE1,Column,NVARCHAR,TRUE,50,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,RESIDENTIAL_ADDRESS_END_DATE,Column,DATETIME,TRUE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,CORRESPONDENCE_OVERSEAS_ADDRESS_LINE3,Column,NVARCHAR,TRUE,50,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,CUSTOMER_AGE,Column,VARCHAR,TRUE,4000,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,RESIDENTIAL_UK_ADDRESS_BUILDING_NUMBER,Column,NVARCHAR,TRUE,5,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,CORRESPONDENCE_UK_ADDRESS_COUNTY,Column,NVARCHAR,TRUE,30,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,CURRENT_OCCUPATION_ID,Column,VARBINARY/BLOB,FALSE,18,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,CORRESPONDENCE_BFPO_ADDRESS_CARE_OF_SURNAME,Column,NVARCHAR,TRUE,60,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,RESIDENTIAL_UK_ADDRESS_STREET,Column,NVARCHAR,TRUE,50,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,DATE_OF_BIRTH,Column,DATETIME,FALSE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,YEARS_UNTIL_RETIREMENT,Column,NVARCHAR,TRUE,4000,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,RESIDENTIAL_UK_ADDRESS_DISTRICT,Column,NVARCHAR,TRUE,50,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,HOME_TELEPHONE_NUMBER,Column,NVARCHAR,TRUE,20,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,RESIDENTIAL_BFPO_ADDRESS_BFPO_NUMBER,Column,NVARCHAR,TRUE,10,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,DIALING_CODE_WORK,Column,CHAR,TRUE,4,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,DIALING_CODE_HOME,Column,CHAR,TRUE,4,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,TOWN_OF_BIRTH,Column,NVARCHAR,TRUE,30,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,CUSTOMER_NUMBER,Column,VARCHAR,FALSE,10,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,RESIDENTIAL_BFPO_ADDRESS_CARE_OF_SURNAME,Column,NVARCHAR,TRUE,60,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,CORRESPONDENCE_UK_ADDRESS_FLAT,Column,NVARCHAR,TRUE,50,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,CORRESPONDENCE_BFPO_ADDRESS_SERVICE_NUMBER,Column,NVARCHAR,TRUE,50,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,CORRESPONDENCE_BFPO_ADDRESS_BFPO_NUMBER,Column,NVARCHAR,TRUE,10,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,CORRESPONDENCE_ADDRESS_TYPE_CODE,Column,INTEGER,FALSE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,GENDER_CODE,Column,INTEGER,TRUE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,RESIDENTIAL_UK_ADDRESS_FLAT,Column,NVARCHAR,TRUE,50,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,MOBILE_PHONE,Column,NVARCHAR,TRUE,20,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,RECORD_STATUS_CODE,Column,INTEGER,FALSE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,RESIDENTIAL_OVERSEAS_ADDRESS_LINE2,Column,NVARCHAR,TRUE,50,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,CORRESPONDENCE_BFPO_ADDRESS_OPERATION_NAME,Column,NVARCHAR,TRUE,30,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,RESIDENTIAL_OVERSEAS_ADDRESS_LINE1,Column,NVARCHAR,TRUE,50,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,RESIDENTIAL_OVERSEAS_ADDRESS_LINE3,Column,NVARCHAR,TRUE,50,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,RECORD_UPDATE_REASON_CODE,Column,INTEGER,FALSE,,,FALSE,,,,,,
